date,fund,asset,weight
2021-03-01,Combined Max-Sharpe,EQ_DOW,0.0
2021-03-01,Combined Max-Sharpe,EQ_DUK,0.0
2021-03-01,Combined Max-Sharpe,EQ_EA,0.0
2021-03-01,Combined Max-Sharpe,EQ_GE,5.3144027158466745e-18
2021-03-01,Combined Max-Sharpe,EQ_GILD,1.6760628694324887e-18
2021-03-01,Combined Max-Sharpe,EQ_GS,0.0
2021-03-01,Combined Max-Sharpe,EQ_INTC,3.714814227544184e-18
2021-03-01,Combined Max-Sharpe,EQ_KO,9.395446044149896e-19
2021-03-01,Combined Max-Sharpe,EQ_MMM,0.0
2021-03-01,Combined Max-Sharpe,EQ_MRK,6.065212690137082e-18
2021-03-01,Combined Max-Sharpe,EQ_MS,0.0
2021-03-01,Combined Max-Sharpe,EQ_NEE,3.978954059516237e-18
2021-03-01,Combined Max-Sharpe,EQ_NEM,0.0
2021-03-01,Combined Max-Sharpe,EQ_NKE,7.648697522379145e-18
2021-03-01,Combined Max-Sharpe,EQ_NUE,0.0
2021-03-01,Combined Max-Sharpe,EQ_NVDA,0.0
2021-03-01,Combined Max-Sharpe,EQ_O,4.565662930643373e-18
2021-03-01,Combined Max-Sharpe,EQ_OXY,0.0
2021-03-01,Combined Max-Sharpe,EQ_PLD,5.179421315585477e-18
2021-03-01,Combined Max-Sharpe,EQ_PSA,0.0
2021-03-01,Combined Max-Sharpe,EQ_QCOM,0.0
2021-03-01,Combined Max-Sharpe,EQ_SBUX,0.0
2021-03-01,Combined Max-Sharpe,EQ_SHW,0.0
2021-03-01,Combined Max-Sharpe,EQ_SLB,0.0
2021-03-01,Combined Max-Sharpe,EQ_SO,0.0
2021-03-01,Combined Max-Sharpe,EQ_T,1.2166714984098404e-18
2021-03-01,Combined Max-Sharpe,EQ_TMUS,2.6639530830274882e-18
2021-03-01,Combined Max-Sharpe,EQ_TTWO,0.034031548868142865
2021-03-01,Combined Max-Sharpe,EQ_UPS,0.3737856770644764
2021-03-01,Combined Max-Sharpe,EQ_USB,0.0
2021-03-01,Combined Max-Sharpe,EQ_V,3.6746525146978124e-18
2021-03-01,Combined Max-Sharpe,EQ_WFC,9.149357905201758e-19
2021-03-01,Combined Max-Sharpe,EQ_WMT,2.7333912148492236e-18
2021-03-01,Combined Max-Sharpe,EQ_XOM,1.1158360387926079e-18
2021-03-01,Combined Max-Sharpe,CR_ADA-USD,0.11991142619084214
2021-03-01,Combined Max-Sharpe,CR_BCH-USD,3.3046036143264894e-18
2021-03-01,Combined Max-Sharpe,CR_BTC-USD,0.36611366927841427
2021-03-01,Combined Max-Sharpe,CR_EOS-USD,3.488723080989477e-18
2021-03-01,Combined Max-Sharpe,CR_ETC-USD,3.0608935410398628e-18
2021-03-01,Combined Max-Sharpe,CR_ETH-USD,8.995969023606304e-17
2021-03-01,Combined Max-Sharpe,CR_LTC-USD,0.0
2021-03-01,Combined Max-Sharpe,CR_TRX-USD,1.8264042050223546e-17
2021-03-01,Combined Max-Sharpe,CR_XLM-USD,0.04891004950041739
2021-03-01,Combined Max-Sharpe,CR_XRP-USD,0.0
2021-04-01,Combined Max-Sharpe,EQ_ABBV,0.14983782414535568
2021-04-01,Combined Max-Sharpe,EQ_ABT,0.02954749593296166
2021-04-01,Combined Max-Sharpe,EQ_ADBE,0.0
2021-04-01,Combined Max-Sharpe,EQ_AEP,0.0
2021-04-01,Combined Max-Sharpe,EQ_AMD,6.038790899499283e-18
2021-04-01,Combined Max-Sharpe,EQ_AMGN,5.316932547523979e-18
2021-04-01,Combined Max-Sharpe,EQ_AMT,0.0
2021-04-01,Combined Max-Sharpe,EQ_BA,0.0
2021-04-01,Combined Max-Sharpe,EQ_CAT,0.015720018475677746
2021-04-01,Combined Max-Sharpe,EQ_CCI,0.0
2021-04-01,Combined Max-Sharpe,EQ_CMCSA,1.0110516832599558e-18
2021-04-01,Combined Max-Sharpe,EQ_COP,0.0
2021-04-01,Combined Max-Sharpe,EQ_CVX,2.837642272585353e-18
2021-04-01,Combined Max-Sharpe,EQ_D,0.0
2021-04-01,Combined Max-Sharpe,EQ_DD,0.06623487837209606
2021-04-01,Combined Max-Sharpe,EQ_DIS,3.605815292246668e-18
2021-04-01,Combined Max-Sharpe,EQ_DOW,0.0
2021-04-01,Combined Max-Sharpe,EQ_DUK,0.0
2021-04-01,Combined Max-Sharpe,EQ_EA,0.08026503367441361
2021-04-01,Combined Max-Sharpe,EQ_GE,9.5935561261652e-19
2021-04-01,Combined Max-Sharpe,EQ_GILD,1.5846697241177634e-19
2021-04-01,Combined Max-Sharpe,EQ_GS,0.019773276437110198
2021-04-01,Combined Max-Sharpe,EQ_INTC,3.21454367353961e-18
2021-04-01,Combined Max-Sharpe,EQ_KO,0.0
2021-04-01,Combined Max-Sharpe,EQ_MMM,0.0
2021-04-01,Combined Max-Sharpe,EQ_MRK,1.5488857479665103e-18
2021-04-01,Combined Max-Sharpe,EQ_MS,0.1295268760187734
2021-04-01,Combined Max-Sharpe,EQ_NEE,0.0
2021-04-01,Combined Max-Sharpe,EQ_NEM,3.420970485680035e-18
2021-04-01,Combined Max-Sharpe,EQ_NKE,9.988648711380112e-18
2021-04-01,Combined Max-Sharpe,EQ_NUE,0.02696440168700967
2021-04-01,Combined Max-Sharpe,EQ_NVDA,0.0
2021-04-01,Combined Max-Sharpe,EQ_O,0.0
2021-04-01,Combined Max-Sharpe,EQ_OXY,1.1757617211753581e-18
2021-04-01,Combined Max-Sharpe,EQ_PLD,0.0
2021-04-01,Combined Max-Sharpe,EQ_PSA,0.012503849414703786
2021-04-01,Combined Max-Sharpe,EQ_QCOM,6.311817408141587e-18
2021-04-01,Combined Max-Sharpe,EQ_SBUX,0.0
2021-04-01,Combined Max-Sharpe,EQ_SHW,4.807090833390327e-18
2021-04-01,Combined Max-Sharpe,EQ_SLB,0.0
2021-04-01,Combined Max-Sharpe,EQ_SO,6.49346412183819e-18
2021-04-01,Combined Max-Sharpe,EQ_T,4.5422453449707335e-18
2021-04-01,Combined Max-Sharpe,EQ_TMUS,4.872813220985783e-18
2021-04-01,Combined Max-Sharpe,EQ_TTWO,0.029459657252961156
2021-04-01,Combined Max-Sharpe,EQ_UPS,0.10805103721368821
2021-04-01,Combined Max-Sharpe,EQ_USB,0.0
2021-04-01,Combined Max-Sharpe,EQ_V,2.2945323841248275e-18
2021-04-01,Combined Max-Sharpe,EQ_WFC,0.0
2021-04-01,Combined Max-Sharpe,EQ_WMT,1.8841713069515166e-18
2021-04-01,Combined Max-Sharpe,EQ_XOM,0.0
2021-04-01,Combined Max-Sharpe,CR_ADA-USD,0.06151020364459274
2021-04-01,Combined Max-Sharpe,CR_BCH-USD,0.0
2021-04-01,Combined Max-Sharpe,CR_BTC-USD,0.21900528440050462
2021-04-01,Combined Max-Sharpe,CR_EOS-USD,0.0
2021-04-01,Combined Max-Sharpe,CR_ETC-USD,0.0
2021-04-01,Combined Max-Sharpe,CR_ETH-USD,0.0
2021-04-01,Combined Max-Sharpe,CR_LTC-USD,0.0
2021-04-01,Combined Max-Sharpe,CR_TRX-USD,0.051600163330151515
2021-04-01,Combined Max-Sharpe,CR_XLM-USD,1.9876594431698976e-18
2021-04-01,Combined Max-Sharpe,CR_XRP-USD,4.832381728446554e-18
2021-05-03,Combined Max-Sharpe,EQ_ABBV,0.13076008960541385
2021-05-03,Combined Max-Sharpe,EQ_ABT,7.647152068061954e-18
2021-05-03,Combined Max-Sharpe,EQ_ADBE,7.278419572220463e-18
2021-05-03,Combined Max-Sharpe,EQ_AEP,0.0
2021-05-03,Combined Max-Sharpe,EQ_AMD,6.94664501390901e-18
2021-05-03,Combined Max-Sharpe,EQ_AMGN,0.0
2021-05-03,Combined Max-Sharpe,EQ_AMT,3.779802211983785e-20
2021-05-03,Combined Max-Sharpe,EQ_BA,1.4966622938490181e-18
2021-05-03,Combined Max-Sharpe,EQ_CAT,0.0800609886604001
2021-05-03,Combined Max-Sharpe,EQ_CCI,5.080788347983983e-18
2021-05-03,Combined Max-Sharpe,EQ_CMCSA,8.409673168223357e-18
2021-05-03,Combined Max-Sharpe,EQ_COP,9.513192012766341e-18
2021-05-03,Combined Max-Sharpe,EQ_CVX,0.0
2021-05-03,Combined Max-Sharpe,EQ_D,5.24356392755117e-19
2021-05-03,Combined Max-Sharpe,EQ_DD,5.8237036563048465e-18
2021-05-03,Combined Max-Sharpe,EQ_DIS,6.689207597462055e-18
2021-05-03,Combined Max-Sharpe,EQ_DOW,2.525872441441024e-18
2021-05-03,Combined Max-Sharpe,EQ_DUK,0.0
2021-05-03,Combined Max-Sharpe,EQ_EA,0.0
2021-05-03,Combined Max-Sharpe,EQ_GE,4.684456689338068e-18
2021-05-03,Combined Max-Sharpe,EQ_GILD,3.562828441892768e-18
2021-05-03,Combined Max-Sharpe,EQ_GS,1.9823215313050465e-18
2021-05-03,Combined Max-Sharpe,EQ_INTC,8.593881092797235e-18
2021-05-03,Combined Max-Sharpe,EQ_KO,1.805823605372467e-18
2021-05-03,Combined Max-Sharpe,EQ_MMM,0.0
2021-05-03,Combined Max-Sharpe,EQ_MRK,0.0
2021-05-03,Combined Max-Sharpe,EQ_MS,0.12003832962762678
2021-05-03,Combined Max-Sharpe,EQ_NEE,1.241398441641993e-17
2021-05-03,Combined Max-Sharpe,EQ_NEM,0.0
2021-05-03,Combined Max-Sharpe,EQ_NKE,0.0
2021-05-03,Combined Max-Sharpe,EQ_NUE,2.6593277068990215e-18
2021-05-03,Combined Max-Sharpe,EQ_NVDA,0.02649185978824246
2021-05-03,Combined Max-Sharpe,EQ_O,6.290259526182774e-18
2021-05-03,Combined Max-Sharpe,EQ_OXY,4.386956628890869e-18
2021-05-03,Combined Max-Sharpe,EQ_PLD,0.0
2021-05-03,Combined Max-Sharpe,EQ_PSA,0.16137575415204328
2021-05-03,Combined Max-Sharpe,EQ_QCOM,0.0
2021-05-03,Combined Max-Sharpe,EQ_SBUX,7.278855942231793e-18
2021-05-03,Combined Max-Sharpe,EQ_SHW,0.08072588516899334
2021-05-03,Combined Max-Sharpe,EQ_SLB,1.72665879335483e-18
2021-05-03,Combined Max-Sharpe,EQ_SO,2.209782994191764e-18
2021-05-03,Combined Max-Sharpe,EQ_T,3.270526180778746e-20
2021-05-03,Combined Max-Sharpe,EQ_TMUS,7.422011364686263e-18
2021-05-03,Combined Max-Sharpe,EQ_TTWO,0.019409351981871558
2021-05-03,Combined Max-Sharpe,EQ_UPS,0.16497198187852147
2021-05-03,Combined Max-Sharpe,EQ_USB,1.2821843064576997e-18
2021-05-03,Combined Max-Sharpe,EQ_V,0.0
2021-05-03,Combined Max-Sharpe,EQ_WFC,0.0
2021-05-03,Combined Max-Sharpe,EQ_WMT,1.1419034508743663e-17
2021-05-03,Combined Max-Sharpe,EQ_XOM,0.0
2021-05-03,Combined Max-Sharpe,CR_ADA-USD,0.046748801470953866
2021-05-03,Combined Max-Sharpe,CR_BCH-USD,1.55609528163003e-17
2021-05-03,Combined Max-Sharpe,CR_BTC-USD,0.14273187437451948
2021-05-03,Combined Max-Sharpe,CR_EOS-USD,1.1695537584024033e-17
2021-05-03,Combined Max-Sharpe,CR_ETC-USD,0.0
2021-05-03,Combined Max-Sharpe,CR_ETH-USD,1.44797238579194e-17
2021-05-03,Combined Max-Sharpe,CR_LTC-USD,0.0
2021-05-03,Combined Max-Sharpe,CR_TRX-USD,0.026685083291413763
2021-05-03,Combined Max-Sharpe,CR_XLM-USD,0.0
2021-05-03,Combined Max-Sharpe,CR_XRP-USD,0.0
2021-06-01,Combined Max-Sharpe,EQ_ABBV,2.012157285933055e-17
2021-06-01,Combined Max-Sharpe,EQ_ABT,8.295431954997174e-18
2021-06-01,Combined Max-Sharpe,EQ_ADBE,1.6334983194080113e-17
2021-06-01,Combined Max-Sharpe,EQ_AEP,2.793290251265598e-18
2021-06-01,Combined Max-Sharpe,EQ_AMD,1.3051703750573857e-17
2021-06-01,Combined Max-Sharpe,EQ_AMGN,7.513839504976046e-18
2021-06-01,Combined Max-Sharpe,EQ_AMT,3.089894327220685e-18
2021-06-01,Combined Max-Sharpe,EQ_BA,0.0
2021-06-01,Combined Max-Sharpe,EQ_CAT,0.14609118252727965
2021-06-01,Combined Max-Sharpe,EQ_CCI,0.0
2021-06-01,Combined Max-Sharpe,EQ_CMCSA,1.1407374258666916e-17
2021-06-01,Combined Max-Sharpe,EQ_COP,0.0
2021-06-01,Combined Max-Sharpe,EQ_CVX,1.7118406150378516e-18
2021-06-01,Combined Max-Sharpe,EQ_D,0.0
2021-06-01,Combined Max-Sharpe,EQ_DD,1.5610478687416706e-18
2021-06-01,Combined Max-Sharpe,EQ_DIS,4.188661489801987e-18
2021-06-01,Combined Max-Sharpe,EQ_DOW,6.302465315628436e-19
2021-06-01,Combined Max-Sharpe,EQ_DUK,2.469104969318879e-18
2021-06-01,Combined Max-Sharpe,EQ_EA,5.006100437276616e-19
2021-06-01,Combined Max-Sharpe,EQ_GE,0.06855759992807113
2021-06-01,Combined Max-Sharpe,EQ_GILD,0.0
2021-06-01,Combined Max-Sharpe,EQ_GS,1.1356188980790174e-17
2021-06-01,Combined Max-Sharpe,EQ_INTC,1.2219684742393497e-17
2021-06-01,Combined Max-Sharpe,EQ_KO,0.0
2021-06-01,Combined Max-Sharpe,EQ_MMM,0.0
2021-06-01,Combined Max-Sharpe,EQ_MRK,0.0
2021-06-01,Combined Max-Sharpe,EQ_MS,0.13484094595558377
2021-06-01,Combined Max-Sharpe,EQ_NEE,0.0
2021-06-01,Combined Max-Sharpe,EQ_NEM,0.0
2021-06-01,Combined Max-Sharpe,EQ_NKE,4.5499357917680655e-18
2021-06-01,Combined Max-Sharpe,EQ_NUE,0.025367120615367954
2021-06-01,Combined Max-Sharpe,EQ_NVDA,0.01834269089183868
2021-06-01,Combined Max-Sharpe,EQ_O,3.7753843286301794e-20
2021-06-01,Combined Max-Sharpe,EQ_OXY,0.0
2021-06-01,Combined Max-Sharpe,EQ_PLD,2.2570455441591267e-18
2021-06-01,Combined Max-Sharpe,EQ_PSA,0.2057346242311303
2021-06-01,Combined Max-Sharpe,EQ_QCOM,1.3460601454006962e-17
2021-06-01,Combined Max-Sharpe,EQ_SBUX,5.377210905580247e-18
2021-06-01,Combined Max-Sharpe,EQ_SHW,0.0
2021-06-01,Combined Max-Sharpe,EQ_SLB,0.0
2021-06-01,Combined Max-Sharpe,EQ_SO,4.758026919709272e-19
2021-06-01,Combined Max-Sharpe,EQ_T,0.0
2021-06-01,Combined Max-Sharpe,EQ_TMUS,2.99315969533739e-18
2021-06-01,Combined Max-Sharpe,EQ_TTWO,0.1067849826106746
2021-06-01,Combined Max-Sharpe,EQ_UPS,0.1991250659558523
2021-06-01,Combined Max-Sharpe,EQ_USB,1.5315040982493425e-17
2021-06-01,Combined Max-Sharpe,EQ_V,4.980001328346826e-18
2021-06-01,Combined Max-Sharpe,EQ_WFC,0.0
2021-06-01,Combined Max-Sharpe,EQ_WMT,7.553770281664618e-18
2021-06-01,Combined Max-Sharpe,EQ_XOM,4.445717244745282e-18
2021-06-01,Combined Max-Sharpe,CR_ADA-USD,0.025929656883575184
2021-06-01,Combined Max-Sharpe,CR_BCH-USD,0.0
2021-06-01,Combined Max-Sharpe,CR_BTC-USD,0.022210841420794967
2021-06-01,Combined Max-Sharpe,CR_EOS-USD,5.522519614303513e-18
2021-06-01,Combined Max-Sharpe,CR_ETC-USD,0.03197525426908338
2021-06-01,Combined Max-Sharpe,CR_ETH-USD,0.011476606511598604
2021-06-01,Combined Max-Sharpe,CR_LTC-USD,8.304789328329488e-18
2021-06-01,Combined Max-Sharpe,CR_TRX-USD,0.0035634281991492023
2021-06-01,Combined Max-Sharpe,CR_XLM-USD,0.0
2021-06-01,Combined Max-Sharpe,CR_XRP-USD,0.0
2021-07-01,Combined Max-Sharpe,EQ_ABBV,0.0
2021-07-01,Combined Max-Sharpe,EQ_ABT,0.0
2021-07-01,Combined Max-Sharpe,EQ_ADBE,9.150228949466904e-19
2021-07-01,Combined Max-Sharpe,EQ_AEP,0.0
2021-07-01,Combined Max-Sharpe,EQ_AMD,0.03942143008421426
2021-07-01,Combined Max-Sharpe,EQ_AMGN,0.0
2021-07-01,Combined Max-Sharpe,EQ_AMT,2.116801837281994e-18
2021-07-01,Combined Max-Sharpe,EQ_BA,4.530180395613635e-17
2021-07-01,Combined Max-Sharpe,EQ_CAT,0.009482316300551553
2021-07-01,Combined Max-Sharpe,EQ_CCI,0.0
2021-07-01,Combined Max-Sharpe,EQ_CMCSA,0.0
2021-07-01,Combined Max-Sharpe,EQ_COP,1.952173298407284e-17
2021-07-01,Combined Max-Sharpe,EQ_CVX,4.853913246977765e-17
2021-07-01,Combined Max-Sharpe,EQ_D,1.1574685005794787e-17
