date,fg_index,fg_roll,fg_z,label
2020-02-26,53.124021164021165,53.11177547343208,-0.4762167126129297,Neutral
2020-02-27,50.94028436018957,52.87738944617977,-0.7958103083108682,Fear
2020-02-28,47.42392045454546,52.38964816528325,-1.46086270737831,Fear
2020-03-02,53.4791116751269,52.463521590583014,-1.360133692535373,Fear
2020-03-03,50.97353741496598,52.28901110518585,-1.5980848800224754,Extreme fear
2020-03-04,55.82506849315069,52.46907918436693,-1.3525557178512455,Fear
2020-03-05,50.137214285714286,52.32683831995835,-1.5465061416219692,Extreme fear
2020-03-06,48.4921568627451,51.88237887864758,-2.1525422294195358,Extreme fear
2020-03-09,49.082130434782606,51.69569564905658,-2.407091381947577,Extreme fear
2020-03-10,52.60976744186046,51.72788040868522,-2.3632063296815615,Extreme fear
2020-03-11,51.87806748466258,51.5821650110219,-2.5618944018064624,Extreme fear
2020-03-12,49.66185779816514,51.282620470450524,-2.970333923202668,Extreme fear
2020-03-13,52.40593023255814,51.234177109610314,-3.036388150325811,Extreme fear
2020-03-16,48.432652671755726,51.09685916272736,-3.223626002823471,Extreme fear
2020-03-17,53.493597560975616,51.19728788901463,-3.0866879006602344,Extreme fear
2020-03-18,50.50991071428571,51.02301385903226,-3.3243166728689095,Extreme fear
2020-03-19,50.72147435897436,51.00842652561792,-3.344207015276203,Extreme fear
2020-03-20,52.0875138121547,51.31933274945853,-2.9202754389492336,Extreme fear
2020-03-23,51.37889344262295,51.17931820062494,-3.111190203094204,Extreme fear
2020-03-24,56.7583064516129,51.56496946973473,-2.585341127425579,Extreme fear
2020-03-25,54.07176100628931,51.44808230394397,-2.744720890988855,Extreme fear
2020-03-26,54.16431428571428,51.71655563727731,-2.378648053990563,Extreme fear
2020-03-27,56.14409395973154,52.22668477707641,-1.6830690215289297,Extreme fear
2020-03-30,53.00426229508197,52.48816023442969,-1.3265380346696238,Fear
2020-03-31,54.15985401459854,52.5914993392789,-1.1856315289272354,Fear
2020-04-01,50.60549079754601,52.50666089347112,-1.3013117350682961,Fear
2020-04-02,53.71210227272727,52.77667719177527,-0.9331350110386913,Fear
2020-04-03,50.86065789473684,52.673659035920515,-1.073603891533644,Fear
2020-04-06,55.15419871794872,53.12176210566671,-0.4625995881529373,Neutral
2020-04-07,55.73931623931624,53.271476684222755,-0.2584584921582519,Neutral
2020-04-08,55.171441048034936,53.58224537313937,0.1652855504602942,Neutral
2020-04-09,55.61415517241379,53.90842409403533,0.610041713928505,Greed
2020-04-13,49.64976811594203,53.91498016226388,0.6189811436520487,Greed
2020-04-14,56.876836283185845,53.923446578804814,0.6305254005205723,Greed
2020-04-15,48.068683206106876,53.4946553073632,0.04585341366875028,Neutral
2020-04-16,54.27361842105263,53.502462745601655,0.05649913043381246,Neutral
2020-04-17,55.83906050955414,53.480674642017554,0.026790284520460148,Neutral
2020-04-20,50.04240566037736,53.269113453824374,-0.2616808399634305,Neutral
