date,sector,fg_index,n_headlines
2022-10-21,Consumer,53.20033333333333,15
2022-10-24,Consumer,53.70553571428571,28
2022-10-25,Consumer,54.681363636363635,33
2022-10-26,Consumer,54.174166666666665,18
2022-10-27,Consumer,49.402750000000005,20
2022-10-28,Consumer,47.0275,18
2022-10-31,Consumer,54.675,30
2022-11-01,Consumer,58.046176470588236,17
2022-11-02,Consumer,59.905789473684216,19
2022-11-03,Consumer,56.353947368421046,19
2022-11-04,Consumer,53.28048387096774,31
2022-11-07,Consumer,54.641714285714286,35
2022-11-08,Consumer,54.02693548387097,31
2022-11-09,Consumer,48.800909090909094,33
2022-11-10,Consumer,49.19804347826087,23
2022-11-11,Consumer,55.50052631578947,19
2022-11-14,Consumer,50.94202702702703,37
2022-11-15,Consumer,55.06928571428571,49
2022-11-16,Consumer,52.98319444444444,36
2022-11-17,Consumer,58.421086956521734,23
2022-11-18,Consumer,47.506764705882354,17
2022-11-21,Consumer,55.384687500000005,48
2022-11-22,Consumer,52.29208333333333,24
2022-11-23,Consumer,53.28403846153846,26
2022-11-25,Consumer,55.394459459459455,37
2022-11-28,Consumer,52.82888888888889,27
2022-11-29,Consumer,53.28804347826087,23
2022-11-30,Consumer,58.84425,20
2022-12-01,Consumer,56.42194444444445,18
2022-12-02,Consumer,56.619375,24
2022-12-05,Consumer,54.4225641025641,39
2022-12-06,Consumer,50.81736842105263,19
2022-12-07,Consumer,55.31857142857143,14
2022-12-08,Consumer,54.23375,28
2022-12-09,Consumer,58.24666666666667,24
2022-12-12,Consumer,52.338249999999995,20
2022-12-13,Consumer,52.217083333333335,24
2022-12-14,Consumer,52.39,17
2022-12-15,Consumer,51.15868421052632,19
2022-12-16,Consumer,53.904047619047624,21
2022-12-19,Consumer,55.10655172413793,29
2022-12-20,Consumer,56.5859090909091,22
2022-12-21,Consumer,53.28271739130435,46
2022-12-22,Consumer,55.228043478260865,23
2022-12-23,Consumer,55.059230769230766,13
2022-12-27,Consumer,57.248000000000005,35
2022-12-28,Consumer,52.07875,8
2022-12-29,Consumer,55.32295454545454,22
2022-12-30,Consumer,56.8762,25
2023-01-03,Consumer,51.768235294117645,34
2023-01-04,Consumer,53.29416666666666,24
2023-01-05,Consumer,53.04,21
2023-01-06,Consumer,56.705499999999994,10
2023-01-09,Consumer,52.83519999999999,25
2023-01-10,Consumer,51.198076923076925,13
2023-01-11,Consumer,50.958333333333336,21
2023-01-12,Consumer,55.197678571428575,28
2023-01-13,Consumer,58.00058823529412,17
2023-01-17,Consumer,54.733333333333334,51
2023-01-18,Consumer,57.40222222222222,27
2023-01-19,Consumer,52.14895833333333,24
2023-01-20,Consumer,49.490833333333335,18
2023-01-23,Consumer,56.71741935483871,31
2023-01-24,Consumer,53.03166666666666,33
2023-01-25,Consumer,53.92666666666667,21
2023-01-26,Consumer,51.268157894736845,19
2023-01-27,Consumer,52.8871052631579,19
2023-01-30,Consumer,50.5795,30
2023-01-31,Consumer,53.51880952380952,21
2023-02-01,Consumer,54.71045454545455,22
2023-02-02,Consumer,54.99300000000001,20
2023-02-03,Consumer,52.71657894736842,19
2023-02-06,Consumer,49.20723684210526,38
2023-02-07,Consumer,62.24892857142857,14
2023-02-08,Consumer,57.8276923076923,39
2023-02-09,Consumer,58.50860465116279,43
2023-02-10,Consumer,54.44083333333333,18
2023-02-13,Consumer,53.46829268292682,41
2023-02-14,Consumer,54.30148648648649,37
2023-02-15,Consumer,53.161874999999995,16
2023-02-16,Consumer,50.63375,24
2023-02-17,Consumer,53.824642857142855,14
2023-02-21,Consumer,51.043186813186814,91
2023-02-22,Consumer,51.91068965517242,29
2023-02-23,Consumer,52.087380952380954,21
2023-02-24,Consumer,51.93357142857143,14
2023-02-27,Consumer,50.62482142857142,28
2023-02-28,Consumer,54.70461538461538,13
2023-03-01,Consumer,53.63392857142857,28
2023-03-02,Consumer,54.60788461538462,26
2023-03-03,Consumer,53.72777777777778,9
